--input INPUT	--output OUTPUT	--env SAMPLE_ID	--env SCHEMA	--env SERIES
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447072_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447072_rtg_vcfstats.txt.csv	SHIP4447072	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447073_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447073_rtg_vcfstats.txt.csv	SHIP4447073	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447074_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447074_rtg_vcfstats.txt.csv	SHIP4447074	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447075_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447075_rtg_vcfstats.txt.csv	SHIP4447075	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447076_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447076_rtg_vcfstats.txt.csv	SHIP4447076	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447077_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447077_rtg_vcfstats.txt.csv	SHIP4447077	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447078_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447078_rtg_vcfstats.txt.csv	SHIP4447078	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447079_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447079_rtg_vcfstats.txt.csv	SHIP4447079	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447081_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447081_rtg_vcfstats.txt.csv	SHIP4447081	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447082_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447082_rtg_vcfstats.txt.csv	SHIP4447082	rtg_vcfstats	rtg_vcfstats.txt
gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/rtg-tools/objects/SHIP4447083_rtg_vcfstats.txt	gs://gbsc-gcp-project-mvp-group/jina-personalis-QC/dsub/vcfstats/text-to-table/objects/SHIP4447083_rtg_vcfstats.txt.csv	SHIP4447083	rtg_vcfstats	rtg_vcfstats.txt
